媒体名称,收录类型,地区,门户类型,收录效果,频道类型,成本价,案例,入口,备注
百度首页一季度-套餐,百度新闻源收录,全国,其它,不包百度新闻源收录,新闻资讯,24500,http://news.hongtongad.com/201812/14/76164697810242462143782349758020.html,,"1、每个项目需一次性先提交5篇文章，稿件不够需另外在提供文章；
2、不保证出相关条数，只保证出百度首页相关效果，不能指定媒体发布；
3、提供的文章统一隔天早上执行安排，当天需做文章优化工作；
4、从执行发布媒体的当天开始计算天数；
5、每个项目只能设置一个关键词；
6、合作流程：客户提供稿件→文章进行优化→稿件客户再次确认→安排媒体发布→内部关键词优化操作→出效果→等待结案；"
百度首页一个月-套餐,百度新闻源收录,全国,其它,不包百度新闻源收录,新闻资讯,8500,http://news.hongtongad.com/201812/14/76164697810242462143782349758020.html,,"1、每个项目需一次性先提交5篇文章，稿件不够需另外在提供文章；
2、不保证出相关条数，只保证出百度首页相关效果，不能指定媒体发布；
3、提供的文章统一隔天早上执行安排，当天需做文章优化工作；
4、从执行发布媒体的当天开始计算天数；
5、每个项目只能设置一个关键词；
6、合作流程：客户提供稿件→文章进行优化→稿件客户再次确认→安排媒体发布→内部关键词优化操作→出效果→等待结案；"
百度首页半个月-套餐,百度新闻源收录,全国,其它,不包百度新闻源收录,新闻资讯,4200,http://news.hongtongad.com/201812/14/76164697810242462143782349758020.html,,"1、每个项目需一次性先提交5篇文章，稿件不够需另外在提供文章；
2、不保证出相关条数，只保证出百度首页相关效果，不能指定媒体发布；
3、提供的文章统一隔天早上执行安排，当天需做文章优化工作；
4、从执行发布媒体的当天开始计算天数；
5、每个项目只能设置一个关键词；
6、合作流程：客户提供稿件→文章进行优化→稿件客户再次确认→安排媒体发布→内部关键词优化操作→出效果→等待结案；"
体验套餐-百度首页一周,百度新闻源收录,全国,其它,不包百度新闻源收录,新闻资讯,2000,http://news.hongtongad.com/201812/14/76164697810242462143782349758020.html,,"1、每个项目需一次性先提交5篇文章，稿件不够需另外在提供文章；
2、不保证出相关条数，只保证出百度首页相关效果，不能指定媒体发布；
3、提供的文章统一隔天早上执行安排，当天需做文章优化工作；
4、从执行发布媒体的当天开始计算天数；
5、每个项目只能设置一个关键词；
6、体验套餐 每个用户只能投放一次
7、合作流程：客户提供稿件→文章进行优化→稿件客户再次确认→安排媒体发布→内部关键词优化操作→出效果→等待结案；"
海外（美国）媒体套餐,百度新闻源收录,北京,其它,不包网页收录,新闻资讯,2500,http://news.hongtongad.com/201812/12/79840879617123873127818841862249.html,,维权  批评稿不能发，将新闻通稿推送给全球超过15000名在线记者及博主，总共推送媒体超过1600家，实际落地媒体链接400-600条，链接时效保证1个月
聊城新闻网-生活,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,新闻资讯,23,http://finance.lcxw.cn/shenghuo/2018-12-10/23595.html,,不发金融理财、医疗保健、加盟、微商等灰色稿件
苏北网-科技,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,IT科技数码,30,http://news.jsnol.com/local/2018/0724/162073.html,,只发正规数码、科技类媒体，不发加盟、金融、医疗、保健稿件
中国纸网,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,财经金融,25,http://www.paper.com.cn/news/finance/2018/1543895633.htm,,"标题不带加盟，不发负面，违法，周末可发，护肤、加盟、美妆、金融稿子一律不包收录，涉及甲醛，墙纸，奶茶，火锅，婚纱稿件不包（以下稿件不发：涉政，医疗整形，负面，博彩，减肥精油，解码器，佛教，微商,原油投资，套现广告，微信刷票，花呗套现，淘宝兼职)"
城经网（包新）,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,新闻资讯,30,http://www.cteo.com.cn/html/2018/12/04/88581.html,,不发加盟医疗、联系方式自动去掉不通知 ，稿件收录问题第二天反馈 超时不处理
凤凰网-重庆,百度新闻源收录,重庆,中国五大门户,包百度新闻源收录,新闻资讯,40,http://cq.ifeng.com/a/20181203/7074342_0.shtml?tdsourcetag=s_pcqq_aiomsg,,不发化妆品护肤品 （大牌的可以 ）， 不发医疗 金融 负面 风水 国家领导人等敏感稿件
中华工商网,网页收录,全国,中央新闻门户,不包网页收录,企业,55,http://www.cbt.com.cn/cjrw/jjxr/13368.html,,工商总局官网，只收企业类稿件，不收p2p、医疗、保健、养生、美容、理财稿件
市场信息网,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,新闻资讯,25,http://www.scxxb.com.cn/html/2018/gnxw_1121/631052.html,,不能带任何联系方式  ，不出整形美容医疗加盟
环球商讯,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,20,http://www.hzhqsp.com,,根据内容安排频道，需指定频道请提前备注。
创投新闻网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,20,http://www.szqmsy.com,,根据内容安排频道，需指定频道请提前备注。
Zaker新闻,百度新闻源收录,全国,中央新闻门户,不包百度新闻源收录,新闻资讯,65,http://www.myzaker.com/article/5c0e323c77ac640b8d28e43f/,,"文章不支持修改,不带联系方式二维码等"
国际在线城市,百度新闻源收录,全国,中央新闻门户,不包百度新闻源收录,财经金融,105,http://city.cri.cn/20181107/b2c47a02-c496-aeaf-a928-dcf4c18314b6.html,,需要白名单首发来源，例如：北国网，消费日报，东北新闻网等
日照新闻网-主站,网页收录,山东,地方重点门户,不包网页收录,新闻资讯,20,http://www.rznews.cn/viscms/redianzixun6971/20180413/379644.html,http://www.rznews.cn/viscms/redianzixun6971/,秒出！
TOM-娱乐,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,娱乐,90,http://ent.tom.com/,,"图片尽量控制在5张内
图片上不能带LOGO
不能带任何联系方式或二维码
不要软文平台来源，只按原链接发布，不要健康江苏来源
各类联系方式默认删除不通知~"
TOM-体育,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,生活消费,90,,,"图片尽量控制在5张内
图片上不能带LOGO
不能带任何联系方式或二维码
不要软文平台来源，只按原链接发布，不要健康江苏来源
联系方式会默认删除"
TOM-时尚,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,女性时尚,90,,,"图片尽量控制在5张内
图片上不能带LOGO
不能带任何联系方式或二维码
不要软文平台来源，只按原链接发布，不要健康江苏来源
联系方式会默认删除"
TOM-消费,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,生活消费,90,http://xiaofei.tom.com,,"图片尽量控制在5张内
图片上不能带LOGO
不能带任何联系方式或二维码
不要软文平台来源，只按原链接发布，不要健康江苏来源
各类联系方式会默认删除不通知~"
青海新闻网-千城,网页收录,宁夏回族自治区,地方重点门户,不包网页收录,新闻资讯,20,http://mlzg.qhnews.com/html/2018/qhnews_technology_0831/509453.html,,保留8张图，P2P，互金不发
华龙网-千城,网页收录,重庆,地方重点门户,不包网页收录,新闻资讯,30,http://mlzg.pub.cqnews.net/html/2018/pubcqnews_zxdt_0831/584.html,,
新浪-大首页,网页收录,全国,中国五大门户,不包网页收录,IT科技数码,800,http://vr.sina.com.cn/news/cp/2018-07-02/doc-ihespqry3327644.shtml,,只发科技 互联网 AI  大数据 ARVR相关内容
齐鲁晚报网-主站,网页收录,山东,地方重点门户,包网页收录,财经金融,35,http://news.qlwb.com.cn/2018/0926/1347554.shtml,http://news.qlwb.com.cn/news/,
长城网-财经,百度新闻源收录,河北,地方商业门户,不包百度新闻源收录,财经金融,45,http://finance.hebei.com.cn/system/2018/01/12/018591135.shtml,,编辑根据稿件内容安排栏目
大众网-资讯,百度新闻源收录,山东,地方重点门户,不包百度新闻源收录,新闻资讯,45,http://dzxf.dzwww.com/gdxw/201801/t20180112_16908366.htm,http://www.dzwww.com/,编辑看稿件内容安排频道，需正规来源
大众证券网,百度新闻源收录,全国,中央新闻门户,不包百度新闻源收录,财经金融,85,http://www.dzzq.com.cn/estate/37595507.html,,非编辑问题不改稿
湄洲日报,网页收录,福建,地方重点门户,不包网页收录,新闻资讯,15,http://www.mzrbs.com.cn/news/xw/2017-09-16/6725.html,,
慧聪通信网,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,IT科技数码,45,http://info.tele.hc360.com/2018/08/011629598036.shtml,,周末可发 发正规稿件
慧聪广电网,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,45,http://info.broadcast.hc360.com/2018/08/161812787475.shtml,,周末可发 发正规稿件
中国信息产业网,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,25,http://www.cnii.com.cn/zixun/2018-12/17/content_2126726.htm,,"周末不发；加盟  婚纱  金融可发不保证,，医疗美容不发"
苏州新闻网,百度新闻源收录,全国,地方商业门户,包百度新闻源收录,新闻资讯,35,http://www.subaonet.com/2019/0104/2384256.shtml,,根据稿件安排频道，周末可发 只收正规稿件，加盟，博彩，医美，负面等纯SEO，不发
经理人网,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,财经金融,40,http://www.sino-manager.com/?p=100251,,周末可发；不发区块链 加盟  婚纱 金融 可发发网贷P2P
中国张掖网,百度新闻源收录,全国,地方商业门户,包百度新闻源收录,新闻资讯,24,http://www.zgzyw.com.cn/zgzyw/system/2018/09/07/030050899.shtml,,信贷、互联网金融、微商、涉外、时评等不发
北纬网.,百度新闻源收录,四川,地方重点门户,包百度新闻源收录,新闻资讯,18,http://news.beiww.com/bwsx/201810/t20181022_768355.html,,周末可发 ；正规稿件包新闻源；医疗 加盟 金融不发；没有收录要第二天反馈 超过时间反馈编辑不会处理
西盟科技资讯-,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,IT科技数码,30,http://www.zmke.com/post/201812/570.html,,周末可发 区块链  金融可发； 医疗  婚纱 加盟 不发
华声晨报,网页收录,广西壮族自治区,全国商业门户,不包网页收录,新闻资讯,32,http://www.nmwhtv.com/xinwen/zonghe/2018/0918/zonghe082831690.html,,周末可发 医疗 微商 加盟 婚纱  金融 股票配资的可发 不包时效，图片不带视觉中国、东方IC水印等其它涉及版权的网站水印，带水印图片编辑默认删图
淘金地,网页收录,全国,全国商业门户,不包网页收录,财经金融,18,http://www.taojindi.com/bianmin/a-332473.html,,不涉及医疗 黄赌毒  可带图  不要内容文字带电话 带网络地址  不做微商 传销类  ，中国领先的B2B电子商务平台
商虎中国,网页收录,全国,全国商业门户,不包网页收录,财经金融,10,http://cn.sonhoo.com/qyxx/a-332470.html,,专业B2B网站
日照网,网页收录,山东,地方重点门户,不包网页收录,新闻资讯,18,http://www.rzw.com.cn/xinxi/a-334977.html,,不涉及医疗 黄赌毒  可带图 不要内容文字带电话 带网络地址  不做微商 传销类
